step,mic0,mic1,mic2,mic3,
0,4,4,4,4,
1,5,3,5,5,
2,10,12,11,9,
3,7,8,7,7,
4,6,6,7,6,
5,5,5,5,4,
6,5,6,6,5,
7,7,5,7,7,
8,7,8,7,7,
9,5,6,5,5,
10,6,4,7,6,
11,3,4,4,3,
12,5,6,5,5,
13,4,2,5,4,
14,4,4,5,3,
15,5,5,5,4,
16,4,3,6,5,
17,3,3,4,3,
18,6,7,7,5,
19,7,7,7,7,
20,7,9,8,8,
21,6,7,7,6,
22,6,6,7,6,
23,5,5,5,5,
24,5,6,5,5,
25,7,8,7,7,
26,5,7,6,6,
27,8,10,9,8,
28,5,4,6,5,
29,5,5,5,5,
30,6,8,7,7,
31,5,4,6,5,
32,5,4,6,4,
33,4,5,4,3,
34,5,4,5,5,
35,4,3,4,4,
36,5,5,5,4,
37,5,3,5,5,
38,4,3,4,4,
39,4,5,4,4,
40,5,3,5,5,
41,4,3,5,4,
42,5,7,6,6,
43,5,4,5,5,
44,5,5,4,5,
45,187,238,314,208,
46,168,229,303,191,
47,159,222,301,187,
48,164,221,302,192,
49,161,219,303,189,
50,161,220,303,191,
51,161,221,307,191,
52,162,222,305,192,
53,163,223,305,194,
54,165,226,310,195,
55,163,222,306,192,
56,162,223,305,191,
57,165,227,309,195,
58,164,225,308,193,
59,163,226,311,194,
60,167,229,312,197,
61,163,224,308,193,
62,162,222,305,192,
63,165,228,310,195,
64,161,221,305,192,
65,161,223,306,192,
66,165,224,307,194,
67,163,224,309,192,
68,160,221,305,192,
69,160,221,307,190,
70,160,221,304,189,
71,161,223,306,192,
72,163,224,307,193,
73,160,223,305,191,
74,161,222,307,191,
75,161,224,308,191,
76,160,221,307,189,
77,162,223,305,191,
78,159,221,302,189,
79,160,221,303,188,
80,161,222,304,190,
81,160,221,303,189,
82,161,223,303,190,
83,162,222,305,191,
84,162,222,303,191,
85,160,221,303,189,
86,161,223,304,191,
87,160,220,303,190,
88,160,221,302,190,
89,162,222,303,192,
90,161,219,302,190,
91,160,221,303,191,
92,161,221,305,192,
93,162,221,304,192,
94,162,222,304,192,
95,15,9,16,17,
96,9,9,10,12,
97,7,7,9,9,
98,4,5,5,7,
99,4,3,3,6,
100,4,5,4,3,
101,3,3,3,4,
102,4,6,4,5,
103,5,6,5,4,
104,4,4,4,3,
105,2,4,4,2,
106,3,3,2,2,
107,3,2,3,3,
108,3,3,2,3,
109,4,4,4,4,
110,3,5,3,4,
111,4,5,3,3,
112,3,4,3,4,
113,2,1,2,2,
114,2,2,2,2,
115,2,3,2,2,
116,2,2,2,2,
117,2,1,1,2,
118,2,3,3,2,
119,2,1,2,2,
120,1,1,1,1,
121,2,2,2,2,
122,2,2,2,2,
123,2,2,2,2,
124,3,3,3,2,
125,2,2,3,2,
126,2,3,2,2,
127,2,3,3,3,
128,2,1,2,2,
129,2,2,1,2,
130,3,3,2,2,
131,3,2,2,3,
132,4,6,5,4,
133,3,5,3,3,
134,2,2,2,2,
135,1,1,1,1,
136,2,2,2,2,
137,2,1,3,2,
138,2,2,2,2,
139,3,3,2,3,
140,2,1,3,2,
141,1,2,1,1,
142,2,2,2,2,
143,2,1,2,2,
144,2,3,2,2,
145,2,2,3,2,
146,2,1,2,2,
147,1,1,1,1,
148,3,4,3,3,
149,3,3,3,3,
150,4,4,3,3,
151,2,3,3,2,
152,3,2,4,3,
153,3,3,3,3,
154,3,3,3,3,
155,2,3,3,2,
156,3,4,4,3,
157,3,4,3,3,
158,3,2,3,3,
159,2,2,2,2,
160,2,2,2,2,
161,3,3,3,3,
162,3,4,3,3,
163,3,4,4,4,
164,3,2,3,2,
165,2,3,2,1,
166,2,2,2,2,
167,3,2,2,3,
168,2,2,2,2,
169,3,3,3,3,
170,3,1,3,2,
171,2,3,2,2,
172,2,3,3,2,
173,3,2,3,3,
174,3,4,3,3,
175,3,4,3,3,
176,3,2,2,2,
177,2,2,3,2,
178,3,3,3,3,
179,2,2,3,3,
180,2,3,3,2,
181,3,4,4,4,
182,3,2,3,3,
183,3,3,3,3,
184,2,3,4,3,
185,2,2,3,3,
186,2,2,2,2,
187,4,4,5,3,
188,3,2,4,3,
189,1,2,2,2,
190,3,3,3,2,
191,2,1,3,2,
192,2,3,3,2,
193,3,3,2,2,
194,2,1,2,2,
195,1,2,1,0,
196,2,2,2,2,
197,2,1,2,2,
198,2,2,2,2,
199,2,2,2,2,
