Angle,mic0,mic1,mic2,mic3
39,302.0,248.0,167.0,215.0,
40,298.0,246.0,160.0,198.0,
41,314.0,261.0,187.0,228.0,
42,314.0,259.0,188.0,229.0,
43,320.0,259.0,187.0,228.0,
44,323.0,264.0,187.0,228.0,
45,322.0,266.0,175.0,209.0,
46,327.0,271.0,179.0,215.0,
47,321.0,264.0,187.0,228.0,
48,321.0,264.0,173.0,207.0,
49,323.0,268.0,176.0,209.0,
50,322.0,267.0,188.0,229.0,
51,321.0,265.0,175.0,207.0,
52,321.0,265.0,173.0,206.0,
53,321.0,265.0,188.0,229.0,
54,321.0,265.0,175.0,207.0,
55,322.0,265.0,174.0,206.0,
56,321.0,265.0,186.0,228.0,
57,321.0,265.0,188.0,230.0,
58,322.0,265.0,173.0,206.0,
59,322.0,265.0,175.0,206.0,
