step,mic0,mic1,mic2,mic3,
0,5,6,5,5,
1,5,3,6,5,
2,6,4,6,6,
3,6,7,6,6,
4,5,3,6,5,
5,8,7,9,8,
6,8,9,8,7,
7,7,7,7,6,
8,7,4,7,6,
9,4,5,5,4,
10,6,4,6,5,
11,6,6,7,7,
12,5,6,5,5,
13,5,3,5,5,
14,7,6,8,7,
15,8,9,8,8,
16,6,6,7,6,
17,5,1,6,5,
18,6,6,6,5,
19,5,5,6,6,
20,6,3,7,6,
21,4,5,4,3,
22,5,5,6,5,
23,6,3,7,6,
24,6,7,6,6,
25,6,7,6,5,
26,4,5,5,5,
27,6,7,7,6,
28,5,2,5,5,
29,5,6,5,5,
30,9,10,10,10,
31,6,6,7,6,
32,4,5,5,4,
33,7,6,7,6,
34,5,3,6,5,
35,4,5,5,4,
36,4,4,4,3,
37,5,3,4,5,
38,4,5,4,3,
39,3,3,4,3,
40,6,3,6,5,
41,4,5,4,4,
42,4,5,5,5,
43,5,1,5,4,
44,4,6,5,4,
45,5,7,6,5,
46,257,327,193,182,
47,244,300,183,177,
48,247,306,176,175,
49,254,306,172,178,
50,257,311,178,181,
51,252,306,172,176,
52,253,307,174,177,
53,253,307,174,179,
54,254,310,175,180,
55,256,312,177,183,
56,256,313,176,182,
57,255,310,175,181,
58,256,311,175,182,
59,256,310,175,183,
60,255,311,175,182,
61,256,311,176,182,
62,256,311,176,182,
63,255,309,174,182,
64,256,313,178,184,
65,255,310,174,181,
66,256,310,174,181,
67,257,314,177,183,
68,258,313,176,183,
69,255,309,173,181,
70,256,312,176,182,
71,256,311,175,182,
72,257,311,176,183,
73,259,313,178,185,
74,254,310,174,180,
75,256,310,177,183,
76,258,311,178,185,
77,256,312,174,181,
78,257,309,176,182,
79,255,309,173,181,
80,254,309,172,180,
81,255,310,174,181,
82,255,310,175,181,
83,253,309,173,180,
84,257,314,178,184,
85,256,313,176,182,
86,256,311,174,181,
87,257,311,177,183,
88,260,315,180,185,
89,259,312,177,182,
90,254,309,174,180,
91,255,310,175,181,
92,253,309,173,180,
93,255,310,174,181,
94,255,308,175,182,
95,254,308,174,180,
96,258,314,178,183,
97,22,17,14,17,
98,9,8,7,8,
99,5,10,6,8,
100,7,11,8,9,
101,4,6,5,6,
102,5,7,5,5,
103,5,7,6,6,
104,3,3,3,3,
105,5,5,4,4,
106,3,5,2,2,
107,4,5,4,3,
108,4,4,4,4,
109,5,7,4,5,
110,3,2,3,3,
111,4,5,4,4,
112,4,5,5,5,
113,3,3,4,4,
114,4,2,4,3,
115,2,3,2,2,
116,3,3,4,3,
117,4,4,4,4,
118,3,3,3,3,
119,3,2,4,3,
120,4,4,5,4,
121,4,5,4,4,
122,4,3,4,4,
123,4,4,4,4,
124,4,6,5,5,
125,5,5,4,4,
126,3,4,4,4,
127,3,3,3,3,
128,5,6,5,5,
129,3,2,3,3,
130,1,2,1,1,
131,4,5,4,4,
132,3,2,4,3,
133,3,4,4,3,
134,2,1,3,3,
135,3,2,4,3,
136,4,4,4,3,
137,3,1,3,2,
138,3,1,3,3,
139,1,2,2,2,
140,2,2,3,2,
141,2,1,3,2,
142,2,3,2,2,
143,4,4,4,3,
144,3,4,3,3,
145,3,4,3,3,
146,4,5,4,4,
147,3,2,3,3,
148,2,2,2,2,
149,3,2,3,3,
150,3,2,3,3,
151,2,2,2,2,
152,2,3,3,2,
153,4,4,4,3,
154,4,5,5,4,
155,4,5,5,4,
156,4,4,4,3,
157,2,3,3,2,
158,4,4,4,2,
159,4,4,4,4,
160,4,4,4,4,
161,3,4,3,3,
162,5,5,6,6,
163,2,3,3,3,
164,5,6,5,5,
165,3,3,4,3,
166,3,4,3,3,
167,3,4,3,3,
168,3,2,4,3,
169,3,3,3,2,
170,2,2,2,1,
171,4,3,4,3,
172,4,4,4,4,
173,2,2,2,2,
174,3,4,3,4,
175,3,4,4,3,
176,4,5,4,4,
177,3,3,3,3,
178,2,2,2,1,
179,6,6,5,5,
180,5,5,5,5,
181,2,2,3,2,
182,5,5,5,4,
183,4,3,4,4,
184,3,4,3,4,
185,3,3,4,2,
186,4,3,4,3,
187,2,3,2,2,
188,5,5,5,4,
189,4,4,4,4,
190,2,2,2,2,
191,3,3,3,3,
192,4,4,3,3,
193,3,3,3,3,
194,3,3,3,3,
195,4,5,5,4,
196,4,5,5,4,
197,6,7,6,6,
198,4,4,4,4,
199,6,6,7,6,
