step,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,
0,2136.0,6.0,0.0,0.0,0.0,0,263.08,3424.0,
1,2138.0,12.0,0.0,0.0,0.0,0,276.08,3605.0,
2,2151.0,22.0,0.0,0.0,0.0,33.42,269.08,3369.0,
3,2226.0,19.0,0.0,0.0,0.0,0,274.08,3411.0,
4,2158.0,17.0,0.0,0.0,2.0,24.42,261.08,3392.0,
5,2318.0,20.0,0.0,0.0,0.0,0,272.08,3366.0,
6,2413.0,22.0,0.0,0.0,0.0,0,275.08,3417.0,
7,2137.0,0.0,0.0,0.0,0.0,0,281.08,3604.0,
8,2149.0,0.0,0.0,0.0,0.0,31.42,273.08,3230.0,
9,2092.0,0.0,0.0,0.0,0.0,0,246.08,2975.0,
10,1880.0,0.0,0.0,0.0,0.0,0,221.08,2184.0,
11,1865.0,0.0,0.0,0.0,0.0,10.42,196.08,2288.0,
12,2348.0,0.0,0.0,0.0,0.0,10.42,192.08,2009.0,
13,1392.0,0.0,0.0,0.0,0.0,0,185.08,1791.0,
14,1263.0,0.0,0.0,0.0,0.0,0,179.08,1597.0,
15,0.0,0.0,0.0,0.0,0.0,0,168.08,2298.0,
16,655.0,0.0,0.0,0.0,0.0,0,155.08,1353.0,
17,592.0,0.0,0.0,0.0,0.0,0,140.08,1159.0,
18,333.0,0.0,0.0,0.0,0.0,0,108.08,214.0,
19,156.0,0.0,0.0,0.0,0.0,0,137.08,1007.0,
20,0.0,0.0,0.0,0.0,0.0,3.42,112.08,825.0,
21,0.0,0.0,0.0,0.0,0.0,21.42,109.08,484.0,
22,0.0,0.0,0.0,0.0,0.0,28.42,94.08,0.0,
23,1070.0,0.0,0.0,0.0,0.0,43.42,94.08,739.0,
24,0.0,0.0,0.0,0.0,0.0,0,87.08,647.0,
25,0.0,0.0,0.0,0.0,0.0,0,78.08,1767.0,
26,0.0,0.0,0.0,0.0,0.0,19.42,79.08,622.0,
27,0.0,0.0,0.0,0.0,0.0,0,73.08,454.0,
28,0.0,0.0,0.0,0.0,0.0,0,71.08,0.0,
29,0.0,0.0,0.0,0.0,0.0,2.42,66.08,399.0,
30,255.0,0.0,0.0,0.0,0.0,0,53.08,467.0,
31,0.0,0.0,0.0,0.0,0.0,23.42,59.08,358.0,
32,0.0,0.0,0.0,0.0,0.0,0,67.08,318.0,
33,0.0,0.0,0.0,0.0,0.0,0,56.08,437.0,
34,0.0,0.0,0.0,0.0,0.0,0,51.08,389.0,
35,0.0,0.0,0.0,0.0,0.0,2.42,35.08,273.0,
36,0.0,0.0,0.0,0.0,0.0,8.42,40.08,0.0,
37,0.0,0.0,0.0,0.0,0.0,0,43.08,326.0,
38,0.0,0.0,0.0,0.0,0.0,0,36.08,459.0,
39,0.0,0.0,0.0,0.0,0.0,0,51.08,1073.0,
40,0.0,0.0,0.0,0.0,0.0,4.42,38.08,270.0,
41,0.0,0.0,0.0,0.0,0.0,0,32.08,252.0,
42,0.0,0.0,0.0,0.0,0.0,1.42,31.08,226.0,
43,0.0,0.0,0.0,0.0,0.0,1.42,19.08,685.0,
44,0.0,0.0,0.0,0.0,0.0,0,27.08,221.0,
45,0.0,0.0,0.0,0.0,0.0,18.42,16.08,193.0,
46,0.0,0.0,0.0,0.0,0.0,3.42,27.08,0.0,
47,0.0,0.0,0.0,0.0,0.0,0,30.08,136.0,
48,0.0,0.0,0.0,0.0,0.0,12.42,40.08,164.0,
49,0.0,0.0,0.0,0.0,0.0,0,23.08,115.0,
50,0.0,0.0,0.0,0.0,0.0,1.42,24.08,108.0,
51,0.0,0.0,0.0,0.0,0.0,0,20.08,141.0,
52,0.0,0.0,0.0,0.0,0.0,0,11.08,99.0,
53,0.0,0.0,0.0,0.0,0.0,5.42,14.08,94.0,
54,0.0,0.0,0.0,0.0,0.0,0,18.08,30.0,
55,0.0,0.0,0.0,0.0,0.0,0,18.08,136.0,
56,0.0,0.0,0.0,0.0,0.0,0,3.08,690.0,
57,0.0,0.0,0.0,0.0,0.0,0,21.08,424.0,
58,0.0,0.0,0.0,0.0,0.0,17.42,19.08,65.0,
59,0.0,0.0,0.0,0.0,0.0,0,13.08,42.0,
60,0.0,0.0,0.0,0.0,0.0,0,23.08,0.0,
61,0.0,0.0,0.0,0.0,0.0,27.42,19.08,54.0,
62,0.0,0.0,0.0,0.0,0.0,0,18.08,61.0,
